Name,Joinable,Description,Average Reward,Average Reward Subtext,Max Reward,Max Reward Subtext,Safe Harbor,Solo-Only
Web-Based Scientific Research Software,true,Website and API,"$200 - $10,000",per vulnerability,"Up to $15,000",maximum reward,true,false
Redox,false,APIs and Platform for Healthcare Systems,"$125 - $4,500",per vulnerability,"Up to $5,000",maximum reward,true,false
1Password Bug Bounty CTF,false,We introduced a $1 million CTF bug bounty challenge in 2022 t…,,,"Up to $5,000",maximum reward,true,false
VeVe,false,Help secure VeVe,,,"Up to $5,000",maximum reward,true,true
Bitpanda Ongoing Bug Bounty,false,Submit your findings to the program!,,,"Up to $5,000",maximum reward,true,false
USAA,false,We proudly serve millions of military members and their famil…,,,"Up to $5,000",maximum reward,partial,false
HotDoc,false,Easily book and manage all your appointments from one place.,,,"Up to $5,000",maximum reward,partial,false
Step Public Applications,false,Step’s mission is to equip younger generations with the tools…,,,"Up to $5,000",maximum reward,true,false
Prosus,false,Prosus,,,"Up to $5,000",maximum reward,false,true
Ecommpay Vulnerability Disclosure Program,false,ECOMMPAY is a payment service provider and a direct bank card…,,,"Up to $5,000",maximum reward,true,true
Bybit,false,"Bybit is one of the fastest growing cryptocurrency exchanges,…","$100 - $5,000",per vulnerability,"Up to $20,000",maximum reward,true,false
Linktree,false,"Linktree enables creators, brands, artists, publishers, agenc…",,,"Up to $20,000",maximum reward,true,false
Optus Vulnerability Disclosure Program,false,SingTel Optus is one of the largest telecommunications compan…,,,"Up to $20,000",maximum reward,true,true
Escape Reality and Elevate Your Permissions,true,Virtual Gaming Platform Wants YOU!,,,"Up to $20,000",maximum reward,true,false
United States Agency for Global Media Vulnerability Disclosure Program,false,"Our mission is to inform, engage, and connect people around t…",,,"Up to $20,000",maximum reward,true,false
Gearset: Managed Bug Bounty,false,Industry-leading DevOps solutions for every Salesforce team,,,"Up to $20,000",maximum reward,true,false
Indeed,false,We help people get jobs.,,,"Up to $20,000",maximum reward,true,false
CIBC VDP,false,Canadian multinational banking and financial services,,,"Up to $20,000",maximum reward,false,true
ROKT Vulnerability Disclosure,false,"Rokt is a global leader in marketing technology, helping comp…",,,"Up to $20,000",maximum reward,true,true
RMIT University Vulnerability Disclosure Program,false,"RMIT is a global university of technology, design and enterpr…",,,"Up to $20,000",maximum reward,partial,true
Aruba Networks Product Public Program,false,People move: Networks must follow.,"$300 - $2,500",per vulnerability,"Up to $5,000",maximum reward,true,true
Private market investment platform,true,Alternative investment platform,,,"Up to $5,000",maximum reward,false,false
Roobet Vulnerability Disclosure Program,false,Roobet is a brand name of Raw Entertainment Ltd. Roobet - Cry…,,,"Up to $5,000",maximum reward,true,true
